Bin Content and Error unit: (Events/[day x 100t x N_h])						
						
Nbins	N_h	Energy 	Width	Content		Error 		Residuals 
     	   	[keV] 	[keV] 	       		     		[(Data-fit)/sigma]
1	92	212.185	2.35242	19.7054		0.183954	19.7054
2	93	214.537	2.35351	16.4255		0.167948	-7.63806
3	94	216.891	2.35459	11.7391		0.141982	-2.67957
4	95	219.245	2.35568	9.34528		0.126681	-4.48962
5	96	221.601	2.35676	6.94799		0.109231	2.53581
6	97	223.958	2.35784	5.40075		0.0963039	1.15585
7	98	226.315	2.35893	4.14201		0.0843378	5.64161
8	99	228.674	2.36001	3.43965		0.0768553	5.59786
9	100	231.034	2.36109	2.39213		0.0640928	2.08495
10	101	233.395	2.36218	1.93534		0.0576495	-0.142287
11	102	235.758	2.36326	1.59876		0.0523972	2.72377
12	103	238.121	2.36434	1.27935		0.0468718	-0.935022
13	104	240.485	2.36543	1.075		0.0429656	1.30002
14	105	242.851	2.36651	0.839735	0.0379741	-1.16186
15	106	245.217	2.36759	0.803673	0.0371498	-1.15331
16	107	247.585	2.36868	0.685183	0.034302	1.78189
17	108	249.953	2.36976	0.589017	0.0318039	0.351498
18	109	252.323	2.37084	0.566693	0.0311954	-0.492734
19	110	254.694	2.37193	0.520327	0.029892	1.02647
20	111	257.066	2.37301	0.49972		0.0292941	0.277978
21	112	259.439	2.37409	0.453354	0.027902	-1.36015
22	113	261.813	2.37518	0.427595	0.0270978	0.297882
23	114	264.188	2.37626	0.386381	0.0257588	-0.696328
24	115	266.565	2.37734	0.425878	0.0270433	1.15527
25	116	268.942	2.37843	0.36234		0.0249445	-0.180746
26	117	271.32	2.37951	0.364057	0.0250035	-0.302257
27	118	273.7	2.38059	0.302236	0.0227819	-1.87669
28	119	276.08	2.38168	0.34345		0.0242856	0.132921
29	120	278.462	2.38276	0.317691	0.0233571	-0.05405
30	121	280.845	2.38384	0.322843	0.0235457	-0.138859
31	122	283.229	2.38493	0.317691	0.0233571	-0.251734
32	123	285.614	2.38601	0.29365		0.022456	-0.631266
33	124	288	2.38709	0.307388	0.0229752	1.01764
34	125	290.387	2.38818	0.302236	0.0227819	1.09174
35	126	292.775	2.38926	0.326278	0.0236707	0.39322
36	127	295.164	2.39034	0.281629	0.0219915	-0.169545
37	128	297.555	2.39143	0.261022	0.0211717	-0.902926
38	129	299.946	2.39251	0.32456		0.0236083	1.65217
39	130	302.338	2.39359	0.276477	0.0217895	0.118008
40	131	304.732	2.39468	0.254153	0.0208913	-0.735782
41	132	307.127	2.39576	0.254153	0.0208913	-0.836866
42	133	309.522	2.39684	0.291933	0.0223902	0.628122
43	134	311.919	2.39793	0.264457	0.0213105	-0.439383
44	135	314.317	2.39901	0.245567	0.0205353	-1.20565
45	136	316.716	2.40009	0.303953	0.0228465	1.23605
