   (Energy -     probability
    861.3 keV)    

  -1.670000      0.0000000E+00
  -1.570000      0.0000000E+00
  -1.470000      9.9999997E-06
  -1.370000      3.9999999E-05
  -1.270000      1.2000000E-04
  -1.170000      3.1999999E-04
  -1.070000      8.2000002E-04
 -0.9700000      1.9700001E-03
 -0.8699999      4.4200001E-03
 -0.7700000      9.2799999E-03
 -0.6700000      1.8250000E-02
 -0.5700000      3.3590000E-02
 -0.4700000      5.7870001E-02
 -0.3700000      9.3379997E-02
 -0.2700000      0.1411500    
 -0.1700000      0.2001400    
 -6.9999993E-02  0.2666600    
  3.0000001E-02  0.3344800    
  0.1300000      0.3962900    
  0.2300000      0.4451700    
  0.3300000      0.4766200    
  0.4300000      0.4893300    
  0.5300000      0.4851500    
  0.6300000      0.4680700    
  0.7300000      0.4428500    
  0.8300000      0.4137500    
  0.9300000      0.3839000    
   1.030000      0.3551900    
   1.130000      0.3284600    
   1.230000      0.3039600    
   1.330000      0.2815300    
   1.430000      0.2609600    
   1.530000      0.2420400    
   1.630000      0.2245600    
   1.730000      0.2083800    
   1.830000      0.1933900    
   1.930000      0.1794600    
   2.030000      0.1665500    
   2.130000      0.1545500    
   2.230000      0.1434200    
   2.330000      0.1330800    
   2.430000      0.1234700    
   2.530000      0.1145500    
   2.630000      0.1062700    
   2.730000      9.8580003E-02
   2.830000      9.1449998E-02
   2.930000      8.4820002E-02
   3.030000      7.8670003E-02
   3.130000      7.2949998E-02
   3.230000      6.7649998E-02
   3.330000      6.2739998E-02
   3.430000      5.8169998E-02
   3.530000      5.3939998E-02
   3.630000      5.0009999E-02
   3.730000      4.6360001E-02
   3.830000      4.2980000E-02
   3.930000      3.9840002E-02
   4.030000      3.6929999E-02
   4.130000      3.4230001E-02
   4.230000      3.1730000E-02
   4.330000      2.9410001E-02
   4.430000      2.7260000E-02
   4.530000      2.5260000E-02
   4.630000      2.3410000E-02
   4.730000      2.1690000E-02
   4.830000      2.0099999E-02
   4.930000      1.8630000E-02
   5.030000      1.7260000E-02
   5.130000      1.6000001E-02
   5.230000      1.4820000E-02
   5.330000      1.3730000E-02
   5.430000      1.2720000E-02
   5.530000      1.1790000E-02
   5.630000      1.0920000E-02
   5.730000      1.0120000E-02
   5.830000      9.3700001E-03
   5.930000      8.6800000E-03
   6.030000      8.0500003E-03
   6.130000      7.4499999E-03
   6.230000      6.8999999E-03
   6.330000      6.3999998E-03
   6.430000      5.9199999E-03
   6.530000      5.4899999E-03
   6.630000      5.0800000E-03
   6.730000      4.7100000E-03
   6.830000      4.3600001E-03
   6.930000      4.0400000E-03
   7.030000      3.7400001E-03
   7.130000      3.4700001E-03
   7.230000      3.2100000E-03
   7.330000      2.9700000E-03
   7.430000      2.7500000E-03

  (Energy -       Probability
   384.3 keV)    

 -0.8100000      0.0000000E+00
 -0.7100000      0.0000000E+00
 -0.6100000      1.9999999E-05
 -0.5100000      2.2000000E-04
 -0.4100000      1.8700000E-03
 -0.3100000      1.1520000E-02
 -0.2100000      5.0650001E-02
 -0.1100000      0.1585500    
 -1.0000005E-02  0.3544200    
  8.9999996E-02  0.5741700    
  0.1900000      0.6984100    
  0.2900000      0.6843100    
  0.3900000      0.6002300    
  0.4900000      0.5212700    
  0.5900000      0.4671500    
  0.6900000      0.4284100    
  0.7900000      0.3961800    
  0.8900000      0.3672000    
  0.9900000      0.3406000    
   1.090000      0.3160300    
   1.190000      0.2933000    
   1.290000      0.2722400    
   1.390000      0.2527100    
   1.490000      0.2346000    
   1.590000      0.2177800    
   1.690000      0.2021600    
   1.790000      0.1876500    
   1.890000      0.1741800    
   1.990000      0.1616600    
   2.090000      0.1500400    
   2.190000      0.1392400    
   2.290000      0.1292100    
   2.390000      0.1198900    
   2.490000      0.1112400    
   2.590000      0.1032000    
   2.690000      9.5739998E-02
   2.790000      8.8809997E-02
   2.890000      8.2379997E-02
   2.990000      7.6410003E-02
   3.090000      7.0869997E-02
   3.190000      6.5729998E-02
   3.290000      6.0950000E-02
   3.390000      5.6520000E-02
   3.490000      5.2409999E-02
   3.590000      4.8590001E-02
   3.690000      4.5049999E-02
   3.790000      4.1770000E-02
   3.890000      3.8720001E-02
   3.990000      3.5900000E-02
   4.090000      3.3280000E-02
   4.190000      3.0850001E-02
   4.290000      2.8589999E-02
   4.390000      2.6500000E-02
   4.490000      2.4569999E-02
   4.590000      2.2770001E-02
   4.690000      2.1100000E-02
   4.790000      1.9560000E-02
   4.890000      1.8120000E-02
   4.990000      1.6790001E-02
   5.090000      1.5560000E-02
   5.190000      1.4420000E-02
   5.290000      1.3360000E-02
   5.390000      1.2380000E-02
   5.490000      1.1470000E-02
   5.590000      1.0630000E-02
   5.690000      9.8500000E-03
   5.790000      9.1300001E-03
   5.890000      8.4600002E-03
   5.990000      7.8299996E-03
   6.090000      7.2599999E-03
   6.190000      6.7300000E-03
   6.290000      6.2299999E-03
   6.390000      5.7700002E-03
   6.490000      5.3500002E-03
   6.590000      4.9500000E-03
   6.690000      4.5900000E-03
   6.790000      4.2500002E-03
   6.890000      3.9400002E-03
   6.990000      3.6500001E-03
   7.090000      3.3799999E-03
   7.190000      3.1300001E-03
   7.290000      2.9000000E-03
   7.390000      2.6900000E-03
